SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,KMA_LAT,KMA_LON,KMA_CAT,KMA_WIND,KMA_PRES,KMA_R50_DIR,KMA_R50_LONG,KMA_R50_SHORT,KMA_R30_DIR,KMA_R30_LONG,KMA_R30_SHORT,NEWDELHI_LAT,NEWDELHI_LON,NEWDELHI_GRADE,NEWDELHI_WIND,NEWDELHI_PRES,NEWDELHI_CI,NEWDELHI_DP,NEWDELHI_POCI,REUNION_LAT,REUNION_LON,REUNION_TYPE,REUNION_WIND,REUNION_PRES,REUNION_TNUM,REUNION_CI,REUNION_RMW,REUNION_R34_NE,REUNION_R34_SE,REUNION_R34_SW,REUNION_R34_NW,REUNION_R50_NE,REUNION_R50_SE,REUNION_R50_SW,REUNION_R50_NW,REUNION_R64_NE,REUNION_R64_SE,REUNION_R64_SW,REUNION_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_METHOD,BOM_PRES_METHOD,NADI_LAT,NADI_LON,NADI_CAT,NADI_WIND,NADI_PRES,WELLINGTON_LAT,WELLINGTON_LON,WELLINGTON_WIND,WELLINGTON_PRES,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,TD9636_PRES,TD9635_LAT,TD9635_LON,TD9635_WIND,TD9635_PRES,TD9635_ROCI,NEUMANN_LAT,NEUMANN_LON,NEUMANN_CLASS,NEUMANN_WIND,NEUMANN_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUST_PER,REUNION_GUST,REUNION_GUST_PER,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR
2011233N15301,2011,54,,,IRENE,2011-08-21 00:00:00,TS,15.0,-59.0,45,1006,hurdat_atl,main,528,528,O______________,hurdat_atl,AL092011,15.0,-59.0, ,TS,45,1006,0,105,0,0,45, , , , , , , , ,1010,175,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55, , , , ,12,480, , , ,19,305
2011233N15301,2011,54,,,IRENE,2011-08-21 03:00:00,TS,15.5,-59.8, , , ,main,552,552,P______________, ,AL092011,15.5,-59.8, ,TS,45,1006,0,118,0,0,63, , , , , , , , ,1010,175,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,305
2011233N15301,2011,54,,CS,IRENE,2011-08-21 06:00:00,TS,16.0,-60.6,45,1006,hurdat_atl,main,585,489,O______________,hurdat_atl,AL092011,16.0,-60.6, ,TS,45,1006,0,130,0,0,80, , , , , , , , ,1010,175,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55, , , , , , , , , ,18,300
2011233N15301,2011,54,,CS,IRENE,2011-08-21 09:00:00,TS,16.4,-61.4, , , ,main,489,393,P______________, ,AL092011,16.4,-61.4, ,TS,45,1006,0,130,0,0,75, , , , , , , , ,1010,175,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,300
2011233N15301,2011,54,,CS,IRENE,2011-08-21 12:00:00,TS,16.8,-62.2,45,1005,hurdat_atl,main,393,307,O______________,hurdat_atl,AL092011,16.8,-62.2, ,TS,45,1005,0,130,0,0,70, , , , , , , , ,1010,175,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55, , , , ,12,360, , ,45,17,295
2011233N15301,2011,54,,CS,IRENE,2011-08-21 15:00:00,TS,17.2,-63.0, , , ,main,297,215,P______________, ,AL092011,17.2,-63.0, ,TS,48,1002,0,130,10,0,70, , , , , , , , ,1010,175,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,360, , ,45,16,295
2011233N15301,2011,54,,CS,IRENE,2011-08-21 18:00:00,TS,17.5,-63.7,50,999,hurdat_atl,main,215,168,O______________,hurdat_atl,AL092011,17.5,-63.7, ,TS,50,999,0,130,20,0,70,30,0,0,0, , , , ,1010,175,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55, , , , ,12,360, , ,45,12,295
2011233N15301,2011,54,,CS,IRENE,2011-08-21 21:00:00,TS,17.7,-64.1, , , ,main,168,114,P______________, ,AL092011,17.7,-64.1, ,TS,56,995,0,130,25,15,80,30,0,0,15, , , , ,1010,150,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,360, , ,83,11,290
2011233N15301,2011,54,,CS,IRENE,2011-08-21 23:00:00,TS,17.8,-64.6,60,993,hurdat_atl,main,114,81,V______________,hurdat_atl,AL092011,17.8,-64.6,L,TS,60,993,0,130,28,25,87,30,0,0,25, , , , ,1010,133,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,360, , ,108,18,285
2011233N15301,2011,54,,CS,IRENE,2011-08-22 00:00:00,TS,17.9,-65.0,60,993,hurdat_atl,main,71,33,O______________,hurdat_atl,AL092011,17.9,-65.0, ,TS,60,993,0,130,30,30,90,30,0,0,30, , , , ,1010,125,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60, , , , ,12,360,60,15,120,14,280
2011233N15301,2011,54,,CS,IRENE,2011-08-22 03:00:00,TS,17.9,-65.6, , , ,main,23,0,P______________, ,AL092011,17.9,-65.6, ,TS,60,991,0,130,45,45,90,35,13,10,33, , , , ,1010,138,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,360,60,15,120,9,285
